Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Little Things x Gypsy Woman - L BEATS MASHUP,Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,6/30/23,QM7282376030,"123,627,077","39,465"
Wake Up (feat. Chris Brown),Wake Up (feat. Chris Brown),Skylar Blatt,4/26/24,USAR12300479,"8,040,021","1,100"
Sï¿½ï¿½guelo Bail,Odisea,Ozuna,8/25/17,USXDR1700560,"544,755,640","58,066"
Arranca (feat. Omega),Arranca (feat. Omega),Becky G,3/10/23,USRC12300209,"161,172,707","23,604"
The Family Madrigal,Encanto (Original Motion Picture Soundtrack),Stephanie Beatriz,11/19/21,USWD12112911,"217,919,853","22,687"
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/19,USUM71913434,"380,367,132","62,939"
Flawlï¿½ï¿½ss (feat. Lil Uzi V,Lyfï¿,Yeat,9/9/22,USUM72217061,"233,573,513","67,981"
Praise Jah in the Moonlight,Praise Jah in the Moonlight - Single,Uzii BigTalk,12/25/23,TCAHS2392343,,121
Bon appï¿½ï¿,Bon Appï¿½ï¿,Katy Perry,4/28/17,USUM71702488,"280,898,252","32,458"
I'm the One,EPIC AF,DJ Khaled,1/1/17,USSM11703300,"1,257,029,279","122,763"
Stay With Me,Candy Baby,1nonly,7/30/20,TCAFE2016912,"398,942,581","99,939"
Typa Girl,BORN PINK,BLACKPINK,9/16/22,KRA402200021,"357,054,107","20,864"
Ayy Macarena,Ayy Macarena,Tyga,11/13/19,USQX91903309,"417,311,779","106,485"
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,3/17/23,BCX5C2300005,"149,455,007","13,028"
Like What (Freestyle),Like What (Freestyle),Cardi B,3/1/24,USAT22401675,"23,475,715","2,809"
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,1/1/09,USHR10924519,"1,587,114,096","210,519"
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12/9/14,USQX91402592,"1,244,864,869","247,570"
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/23,INS7A2352922,"1,332,230",592
Next Level,Next Level,aespa,5/17/21,KRA302100169,"245,384,123","26,925"
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/16,QZ22S1500059,"806,728,296","86,002"
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,4/23/24,GX5PW2400002,"901,007",18
Esta Vida,Esta Vida - Single,Marshmello,4/13/23,USSD12300013,"94,359,848","23,027"
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,9/7/17,USRC11702155,"1,687,683,940","177,653"
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/19,QZ85M1951467,"496,344,788","114,433"
Bolide allemand,Liens du 100,SDM,12/1/22,FRUM72202503,"152,546,936","33,014"
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,12/24/19,USDXS1911811,"413,743,535","39,980"
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,8/31/22,GBAYE2200462,"155,399,041","62,013"
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11/2/23,KRA382321414,"77,590,300","6,575"
Don't Mind,EPIC AF,Kent Jones,1/1/16,USSM11603011,"416,147,244","59,100"
Dientes,Dientes,J Balvin,9/15/23,QZM5U2300388,"38,622,215","13,808"
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,2/9/18,USWB11800211,"982,424,606","140,455"
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,6/7/24,USUM72406359,"2,886,460",470
Midnight Rain,Midnights,Taylor Swift,10/21/22,USUG12205712,"658,208,129","36,730"
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,1/15/20,INS182000105,"112,851,903","8,311"
Boo'd Up,Ella Mai,Ella Mai,10/12/18,USUM71814738,"79,783,827","9,749"
A Mï¿,A Mï¿,Rels B,2/21/19,QM4TW1987698,"631,152,992","82,632"
Buttabomma - Telugu,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",Armaan Malik,12/24/19,INA091916753,"92,120,986","8,924"
Burn It Down,Never Enough,Parker McCollum,5/12/23,USUM72223494,"42,332,727","7,018"
Tu Fan,tu fan,mafalda cardenal,5/26/23,QZMZ92325070,"65,670,361","8,193"
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,8/14/20,US39N2000446,"55,312,275","16,559"
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,1/1/08,USUM70840511,"1,315,577,954","261,770"
Galaxy Express,Galaxy Express - Single,D Gerrard,1/5/24,THW092305121,"20,710,234","1,513"
Skate,Skate,Bruno Mars,7/30/21,USAT22104222,"248,947,222","70,726"
Mercy,Mercy,Shawn Mendes,8/18/16,USUM71603531,"1,351,515,181","114,379"
Dame Tu Cosita (feat. Cutty Ranks),Dame Tu Cosita,El Chombo,4/15/18,FR6Q11800035,"47,325,533","11,423"
Enemy - from the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,10/27/21,USUM72120989,"313,209,345","57,092"
Dear John,End of the World,Wild Child,3/31/23,QMB622200356,"271,785",152
Mount Everest,Mount Everest,Labrinth,6/21/19,GBHMU1800032,"612,159,812","128,472"
Escï¿½ï¿½n,Escï¿½ï¿½n,ýýengo Flow,8/25/23,QZ7R42353128,"63,748,913","11,841"
LAISSE MOI,LAISSE MOI,KeBlack,9/8/23,DGA092316630,"76,805,130","12,362"
This Is The Life,This Is The Life,LIZOT,10/13/23,DEUM72311113,"72,773,866","23,003"
Baianï¿,Baianï¿,Bakermat,7/26/19,NLE801900440,"402,771,910","128,641"
Homicide (feat. Eminem),Homicide,Logic,5/3/19,USUM71908267,"526,019,789","102,549"
More Than My Hometown,More Than My Hometown,Morgan Wallen,4/17/20,QZ22S1800117,"503,296,417","55,067"
Work Out,Work Out,J. Cole,7/4/11,USQX91100801,"955,547,971","199,078"
Soltera,ýýpico,Lunay,10/25/19,USA2P1955945,"170,646,969","5,488"
Fall In Love Alone,Fall In Love Alone,Stacey Ryan,5/13/22,USUG12202833,"250,626,750","28,158"
Huntinï¿½ï¿½ï¿½ W,Might Delete Later,J. Cole,4/5/24,USUG12402405,"36,972,292","5,914"
Plain Jane,Plain Jane,A$AP Ferg,8/4/17,USRC11701803,"733,772,721","146,447"
ORANGE SODA,ORANGE SODA,Baby Keem,7/16/19,QM6N21900076,"676,690,653","183,862"
Clap For 'Em (feat. Flo Milli & Sada Baby),Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,3/20/21,USRC12003901,"21,634,137","6,881"
Righteous,Righteous,Juice WRLD,4/24/20,USUG12000979,"553,627,198","108,088"
Tï¿½ï¿½ ,Odisea,Ozuna,8/25/17,USXDR1700551,"500,508,660","31,360"
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,7/1/22,BXKG22200702,"255,564,797","31,242"
9mm,Memphis Cult Vol. 6,Memphis Cult,2/23/23,UKEX32307199,"157,826,873","34,124"
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/19,KRA401900098,"6,197,708",428
Envy Me,Envy Me,Calboy,9/13/18,USHM91813257,"492,873,992","86,600"
DEJA VU,DEJA VU,Luan Santana,12/7/23,BR27R2300050,"117,285,775","5,157"
Gï¿½ï¿½r,Gï¿½ï¿½r Bak - Si,Fatih Bulut,3/8/24,TRBIY2400022,"11,315,262",557
vendetta!,vendetta!,MUPP,5/20/22,QM4TX2285434,"317,919,778","77,387"
Tï¿½ï¿½ OK (Re,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,DENNIS,8/3/23,BRSME2301107,"112,629,182","13,995"
I'll Be Waiting,I'll Be Waiting,Cian Ducrot,11/10/22,GBUM72205880,"185,042,019","41,058"
Admirin' You (feat. Preston Pablo),Admirin' You (feat. Preston Pablo),Karan Aujla,8/1/23,CAW112300241,"97,989,585","11,146"
Untitled #13,Untitled #13,Glwzbll,4/4/23,RUA1D2328942,"32,244,050","12,908"
El Belicï¿½,El Belicï¿½,Peso Pluma,2/4/22,QMFMF2141501,"254,275,891","27,949"
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/24,USUG12402541,"88,244,010","2,659"
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,12/5/18,USUM71820961,"475,881,575","74,084"
BANZAI!,BANZAI!,Kazuo,12/24/22,JPWP02202338,"118,164",91
One Thing Right,One Thing Right (feat. Kane Brown),Marshmello,6/21/19,US6XF1800275,"545,011,148","69,335"
Wildest Dreams,1989 (Deluxe),Taylor Swift,1/1/14,USCJY1431379,"964,058,806","102,916"
Calling For You (feat. 21 Savage),For All The Dogs,Drake,10/6/23,USUG12306068,"74,265,576","23,221"
Like That,WE DON'T TRUST YOU,Future,3/20/24,USSM12402255,"352,623,365",932
What About Us,What About Us,P!nk,8/10/17,USRC11701586,"788,403,596","79,260"
On The Floor,VTM Kzoom Hits Best Of 2011,Jennifer Lopez,1/1/11,USUM71100721,"456,241,170","89,265"
Mentalitï¿,EP2,Baby Gang,6/17/22,ITC6Q2200040,"120,605,300","50,347"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9/28/18,USUG11801723,"1,569,891,590","133,300"
Captain Hook,Suga,Megan Thee Stallion,3/6/20,QMCE32000098,"199,063,354","27,343"
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Djpaoremix,2/3/23,QZDA42300052,"134,274",70
I'll Be There,I'll Be There,Robin Schulz,10/13/23,DEA622302401,"21,067,560","4,684"
Heavy stunts (with Don Toliver),King tonka,Yeat,5/3/24,USUM72405093,"11,680,886","2,796"
Time Today,Time Today,Moneybagg Yo,2/3/21,USUM72101019,"191,071,471","61,218"
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,5/3/19,DEUM71900680,"793,528,511","99,106"
messy in heaven,messy in heaven,venbee,9/23/22,GBARL2201891,"120,785,398","45,503"
Maquillaje,Maquillaje - Single,Renn,1/10/24,QZZ662405291,"71,320,813","6,751"
Shiver,Shiver,John Summit,2/14/24,USUG12401003,"30,048,265","7,304"
Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,6/23/23,BCDMP2300045,"191,234,818","26,907"
Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),SwitchOTR,10/29/21,GBARL2101712,"169,896,142","75,491"
Toxic Pony,Toxic Pony (feat. Britney Spears & Ginuwine),ALTï¿½ï,1/21/22,USRC12200203,"103,232,015","33,577"
Grey,Grey - Single,Yung Filly,1/26/24,GBAHT2400033,"48,858,795","9,713"
Aquï¿½ï¿½ A,Aquï¿½ï¿½ A,Christian Nodal,7/10/20,MXUM72006101,"423,313,161","33,148"
Whistle,Pioneer The Album (Vol.13),Flo Rida,9/27/10,USAT21201745,"814,272,136","180,832"
Ceux qu'on ï¿½ï¿½,Ceux qu'on ï¿½ï¿½tait - Si,Pierre Garnier,2/7/24,FRZ052400042,"50,498,801","2,884"
Apaga El Cel,Apaga El Cel,Calle 24,12/22/23,USDXS2304292,"145,975,016","6,115"
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý,ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý),Ahmed Saad,6/20/23,FRX872398704,"20,588,020","3,465"
Leave Me Alone,Leave Me Alone,Flipp Dinero,3/14/18,QMKSC1800039,"651,863,663","122,266"
LATTE (feat. Maria Becerra),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/24,USWL12400693,"25,813,787","3,297"
Rolling in the Deep - Acapella,Rolling In The Deep,Adele,1/16/11,GBBKS1000427,"11,170,019","1,580"
In My Head,In My Head,Lil Tjay,4/1/22,USSM12202421,"237,061,046","82,335"
Plan A,Plan A,Paulo Londra,3/23/22,USWL12200224,"275,416,061","45,154"
GoodSin,Avana - EP,Olivetheboy,4/21/23,TCAGY2352982,"9,513,971","1,470"
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,10/9/12,GMM881200022,"1,226,381,432","8,351"
River,River,Bishop Briggs,1/22/16,TCACL1648391,"547,304,707","93,449"
Dil Diyan Gallan,Tiger Zinda Hai (Original),Atif Aslam,12/12/17,INY091700035,"204,127,666","20,958"
Little Bit of Love,Little Bit of Love,Tom Grennan,1/8/21,GBARL2001197,"389,164,529","60,436"
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,1/1/12,USCJY1231039,"839,642,356","110,606"
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401034,"105,424,914","2,473"
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/00,USIR10000448,"1,798,020,679","352,947"
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,7/18/22,USAT22210335,"3,492,767",807
Save Me,Save Me,Jelly Roll,6/25/20,USZHR2000088,"143,528,699","26,295"
ýýýýýý,ýýýýýý,SPRITE,4/29/21,TH2DY2100061,"9,126,545","2,349"
Best For Me,Best For Me,Joyner Lucas,3/18/24,QM4TX2423210,"18,852,560","3,014"
Ni Me Debes Ni Te Debo,Colmillo De Leche,Carin Leon,5/19/23,QZQMB2105022,"168,963,270","9,329"
Ya No Vuelvas,Ya No Vuelvas,Luck Ra,8/9/22,CLPP22200035,"28,739,240","4,519"
Scared To Be Lonely,Dua Lipa (Complete Edition),Martin Garrix,1/1/15,NLM5S1600025,"1,254,883,107","131,909"
Un Aï¿½,Un Aï¿½,Sebastian Yatra,1/18/19,USUM71821048,"573,290,850","44,972"
21,THE GOAT,Polo G,5/15/20,USQX92002597,"500,766,243","134,529"
I Gotta Feeling,The E.N.D. (The Energy Never Dies),Black Eyed Peas,1/1/09,USUM70965169,"1,423,655,688","306,620"
NOSTYLIST,NO STYLIST,Destroy Lonely,8/12/22,USLD91740130,"100,973,437","55,772"
Respect (2021 Remaster),The Genius of Aretha Franklin,Aretha Franklin,2/19/21,USRH12000996,"607,726,217",158
SO DONE,SO DONE,The Kid LAROI,10/23/20,USSM12005922,"428,787,524","95,178"
The Boat Beat,The Boat Beat,Ricky Desktop,5/12/20,QZES92025420,"13,847,072","3,177"
No Es Justo,No Es Justo,J Balvin,5/11/18,USUM71804471,"580,941,059","55,176"
New Jeans,NewJeans 'Super Shy',NewJeans,7/7/23,USA2P2330067,"253,890,110","22,593"
Cat Partying (TikTok Sped Up) - Remix,Cat Partying (TikTok Sped Up) [Remix],Music Factory,3/20/23,ARIXB2303741,"2,368,578","1,128"
WANNABE,IT'z ME,ITZY,3/9/20,US5TA2000006,"365,845,397","29,751"
Yï¿½ï¿½reï¿½ï¿½i,Yï¿½ï¿½reï¿½ï¿½i,Amo988,9/15/23,TRBUL2300064,"75,979,813","7,579"
No Angels,Everything I Thought It Was,Justin Timberlake,3/14/24,USRC12400002,"11,092,257","1,607"
Champagne Poetry,Certified Lover Boy,Drake,9/3/21,USUG12104397,"308,396,120","99,705"
Imitadora,Imitadora,Romeo Santos,6/23/17,USSD11700288,"503,904,686","47,427"
ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýý - Single,Akris & Teddy,5/31/24,FRX872442897,"306,040",1
20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,11/17/17,USAT21704166,"1,006,734,157","224,587"
Om Jai Jagdish Hare,The Bhajan Project 2,Shivali,2/16/23,INS172300521,"8,313",7
Ya No Tiene Novio,Ya No Tiene Novio,Sebastian Yatra,8/10/18,USUM71809940,"431,529,832","32,115"
Your Power,Your Power,Billie Eilish,4/29/21,USUM72105934,"423,439,672","79,149"
Bling Bling,Bling Bling - Single,Grupo Marca Registrada,11/27/23,USA2P2358699,"96,383,243","10,187"
PERO Tï¿,PERO Tï¿,KAROL G,2/23/23,USUM72222545,"212,911,684","22,815"
N'y pense plus,N'y pense plus,Tayc,6/19/20,FR8FB2002810,"177,952,382","60,714"
Body,Good News,Megan Thee Stallion,11/20/20,QMCE32000683,"327,693,363","59,033"
Where You Are,Where You Are,John Summit,3/3/23,USUG12301338,"123,058,600","41,625"
Scream & Shout,Scream & Shout,will.i.am,11/20/12,USUM71215597,"767,661,283","177,756"
bigger thï¿½ï¿½n everyt,bigger thï¿½ï¿½n everyt,Yeat,8/10/23,USUM72311204,"48,790,265","26,044"
Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,4/14/23,USUG12300211,"220,270,601","34,862"
This Is Me,This Is Me,Keala Settle,10/27/17,USAT21704622,"809,894,358","80,591"
QUE PRETENDES,OASIS,J Balvin,6/28/19,USUM71912318,"806,817,589","85,661"
The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,6/13/20,QZHN72010372,"68,033,539","13,060"
Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,1/19/24,QZZEC2322612,"73,192,291","7,800"
Rim Tim Tagi Dim,Rim Tim Tagi Dim,Baby Lasagna,1/12/24,AT2DY2400003,"34,926,866","4,003"
Baila Baila Baila,Baila Baila Baila,Ozuna,1/5/19,QM7281886206,"563,326,343","71,108"
Ms. Jackson,Ms. Jackson,Pashanim,8/24/23,DECE72302560,"91,200,208","31,859"
Sï¿½ï¿½PER ULTRA ,Sï¿½ï¿½PER ULTRA ,Picus,4/15/23,MXUM72300426,"14,167,450",963
Happier (feat. Clementine Douglas),Happier (feat. Clementine Douglas) - Single,The Blessed Madonna,2/2/24,GBAHT2301515,"30,812,151","5,012"
Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,10/20/23,QMANG2210115,"92,158,242","10,988"
Psycho,ýýýThe ReVe Festivalýýý Finale,Red Velvet,12/23/19,KRA301900597,"471,042,668","37,370"
Rhyme Dust,Rhyme Dust,MK,2/24/23,GBARL2300220,"116,992,202","44,035"
Tu Foto,Tu Foto,Q' Lokura,5/16/24,QM6N22456323,"9,244,547",925
Loco,Loco,Justin Quiles,5/13/21,USWL12100223,"417,078,369","80,390"
Siempre Pendientes,Siempre Pendientes,Peso Pluma,8/15/22,QM6P42200426,"395,739,041","34,865"
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/24,USA2P2415976,"11,282,322",625
Slut Me Out,Slut Me Out - Single,NLE Choppa,4/15/22,USWB12200942,"346,862,697","72,540"
Real Love,Real Love,Martin Garrix,9/22/23,NLM5S2302045,"23,089,149","7,090"
A Tu Merced,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030959,"778,269,101","94,041"
Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,1/1/12,USUM71514637,"1,623,436,416","181,003"
Exchange,T R A P S O U L,Bryson Tiller,10/2/15,USRC11502185,"989,672,356","135,409"
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,1/8/21,FR9W12028036,"385,903,701","66,419"
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,6/1/18,US6XF1700267,"572,628,080","58,161"
Y Si Se Quiere Ir,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",11/19/21,QZDQH2154311,"110,244,949","10,233"
Camelot,Camelot,NLE Choppa,9/13/19,USWB11901876,"537,163,250","117,513"
Stuck In The Middle,Stuck in the Middle,Tai Verdes,5/29/20,QZHN52001856,"143,421,888","46,095"
Step Back!,Step Back!,1nonly,9/2/22,USWB12203894,"166,436,749","48,250"
ýýýýýý,ýýýýýý,YOASOBI,1/6/21,JPP302000760,"311,307,250","48,587"
UK Rap,Split Decision,Dave,6/4/23,GBUM72305710,"107,742,416","42,998"
Yugur,Yugur - Single,Dildora Niyozova,2/21/24,GBLPF6787759,"17,009",6
Mi Cama,Mi Cama,KAROL G,5/11/18,USUM71806196,"224,367,887","21,036"
Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2/24/23,FR9W12223053,"84,198",27
True Love,True Love,Kanye West,5/27/22,USQX92202485,"269,363,579","84,173"
La Triple T,La Triple T,TINI,5/5/22,USHR12243202,"265,244,748","27,965"
Car's Outside,YOU,James Arthur,10/18/19,DEE861903416,"578,464,780","64,098"
Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,11/10/23,USUM72315552,"269,280,631","16,841"
Paradise,Mylo Xyloto,Coldplay,10/19/11,GBAYE1101143,"1,291,954,163","205,567"
Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,4/15/22,USAT22200712,"203,417,763","41,522"
Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,9/2/22,QZQMB2102927,"145,135,597","15,952"
Peru,#NAME?,Fireboy DML,1/1/20,USUYG1403104,"316,588,910","82,524"
Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,6/23/22,BCVV82000055,"290,735,048","17,734"
Just Pretend,THE DEATH OF PEACE OF MIND,Bad Omens,2/25/22,USYFZ2264208,"209,635,991","54,470"
older,older,Isabel LaRosa,9/15/23,USRC12302056,"174,933,335","20,035"
Happy Dance,Happy Dance,Elmo,2/3/23,USRH12206010,,
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,6/15/17,QZ8TY1700001,"899,431,434","111,427"
Alone,Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,11/4/22,USHR12244832,"139,783,785","44,303"
Delicate,reputation,Taylor Swift,11/10/17,USCJY1750007,"987,770,768","58,856"
Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,11/24/23,USUM72315069,"91,553,012","8,921"
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,6/16/21,UYB282113006,"203,081,704","47,164"
Ni**as In Paris,Watch the Throne (Deluxe),JAY-Z,1/1/11,USUM71111621,"1,436,087,930","296,520"
Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,4/21/23,DEE862300656,"136,778,408","38,192"
Butterfly x Boom - Remix,Butterfly x Boom (Remix),LEA,1/13/22,HKK972201900,,382
On The Radar Freestyle,On The Radar Freestyle,Drake,7/26/23,USLD91749183,"86,155,124","34,804"
Forever (feat. Fridayy),It's Only Me,Lil Baby,10/14/22,USUG12207233,"101,717,995","43,236"
Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,1/1/14,USUM71409737,"1,336,196,012","120,161"
Reminder,Starboy,The Weeknd,11/25/16,USUG11600998,"1,015,965,940","125,348"
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,10/26/23,USUG12306687,"265,932,119","15,133"
icantbelieveiletyougetaway,icantbelieveiletyougetaway,aldn,5/31/24,QZMEQ2463576,"3,162,942",520
Harmless Python,INKUBATOR,Hot Lemon,2/25/23,USCGJ2325873,,
Funk Estranho,Funk Estranho - Single,prod.67,5/31/24,QZNWR2410858,"3,589",
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214880,"370,800,055","49,381"
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,5/8/20,FRY682000003,"437,558,372","91,322"
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,7/28/23,USUM72311135,"58,058,696","20,289"
Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,7/8/21,GBUM72103840,"237,619,076","109,634"
Salt,Salt (The Remixes),Ava Max,12/12/19,USAT21906991,"388,802,420","56,080"
Fire On Fire,Fire On Fire,Sam Smith,12/21/18,GBUM71807533,"697,834,321","85,430"
Problema,Problema,Carlos Agassi,9/27/23,TCAHM2313718,"125,395",32
Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,4/25/23,KSA002300722,"156,994,096","14,231"
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,5/29/19,USUG11900730,"239,850,720","49,483"
Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,7/28/23,FR9W12333643,"136,709,117","28,764"
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,10/16/18,USQX91802455,"987,061,577","170,786"
Ngozi,Trench to Triumph,Crayon,7/21/23,US23A1567556,"48,581,084","11,373"
i am not who i was,i am not who i was - Single,Chance Peï¿½,9/21/23,QZTPX2322912,"188,215,390","24,322"
Single Again,Single Again,Harmonize,2/19/23,HKC371724447,,3
July,July,Noah Cyrus,7/31/19,USQX91901092,"977,870,118","115,565"
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,5/26/17,USSD11700143,"433,482,670","36,243"
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,1/24/22,USDXS2200425,"209,092,342","22,379"
Drag Me Down,Drag Me Down,One Direction,7/31/15,GBHMU1500070,"1,125,333,823","110,189"
Tu Turrito,Tu Turrito,Rei,5/4/22,UYB282208022,"187,818,818","26,770"
greedy,greedy (Official Video),Tate McRae,9/14/23,USRV82300987,"1,256,101,755",
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,6/3/22,RUA1D2242027,"21,081,306","7,633"
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,3/13/20,QMJMT2002693,"609,716,786","136,864"
Get Off The Wall,Get Off The Wall,Philly Goats,6/2/23,USUM72307453,"8,470,479","2,776"
It'll Be Okay,It'll Be Okay,Shawn Mendes,12/1/21,USUM72122321,"344,658,498","61,117"
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,1/14/22,ES5152101308,"283,228,006","63,076"
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,1/1/11,USAT21101071,"1,318,596,835","240,081"
Number 2,Number 2 / Never Last,Lil Tecca,5/3/24,USUM72404634,"20,742,763","3,204"
Tuesday (feat. Drake),Tuesday (feat. Drake),ILOVEMAKONNEN,9/1/14,USWB11402508,"242,892,279","50,948"
Killshot,Killshot,Eminem,9/19/18,USUM71814876,"415,971,193","67,750"
Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,MC Caverinha,5/11/23,BRRGE2300377,"143,421,339","23,431"
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,5/7/22,INY092200047,"6,355",1
Fuck Niggaz,Fuck Niggaz,YoungBoy Never Broke Again,2/6/24,USUG12400657,"11,393,565","3,743"
Drama (feat. Drake),Exis,Roy Woods,7/31/15,USWB11508706,"497,826,683","86,867"
Entre Nosotros,Entre Nosotros,Tiago PZK,7/8/21,ARGT32100004,"472,107,491","65,462"
